Файл данных опроса от 11:20:21 15.02.2021
Прибор № 1 (адрес - 1)
Addr: 1 ; Command: 1 ; Pressure: -0,0042574 MPa ; Time: 11:23:55.311 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041810 MPa ; Time: 11:23:56.322 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041991 MPa ; Time: 11:23:57.322 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041888 MPa ; Time: 11:23:58.325 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041420 MPa ; Time: 11:23:59.325 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041602 MPa ; Time: 11:24:00.318 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041427 MPa ; Time: 11:24:01.320 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041150 MPa ; Time: 11:24:02.333 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041637 MPa ; Time: 11:24:03.339 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041926 MPa ; Time: 11:24:04.342 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041316 MPa ; Time: 11:24:05.329 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0041005 MPa ; Time: 11:24:06.331 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0040834 MPa ; Time: 11:24:07.348 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0040217 MPa ; Time: 11:24:08.353 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0040232 MPa ; Time: 11:24:09.355 ; Date: 15.02.2021
Addr: 1 ; Command: 1 ; Pressure: -0,0040114 MPa ; Time: 11:24:10.361 ; Date: 15.02.2021
