Файл данных опроса от 11:20:21 15.02.2021
Прибор № 4 (адрес - 4)
Addr: 4 ; Command: 1 ; Pressure: -100,7766000 kPa ; Time: 11:23:20.754 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7760000 kPa ; Time: 11:23:21.764 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7760000 kPa ; Time: 11:23:22.787 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7749000 kPa ; Time: 11:23:23.810 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7749000 kPa ; Time: 11:23:24.825 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7749000 kPa ; Time: 11:23:25.811 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7771000 kPa ; Time: 11:23:26.840 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7789000 kPa ; Time: 11:23:27.870 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7783000 kPa ; Time: 11:23:28.871 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7765000 kPa ; Time: 11:23:29.856 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7777000 kPa ; Time: 11:23:30.856 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7788000 kPa ; Time: 11:23:31.847 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7794000 kPa ; Time: 11:23:32.854 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7788000 kPa ; Time: 11:23:33.853 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7777000 kPa ; Time: 11:23:34.857 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7794000 kPa ; Time: 11:23:35.876 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7816000 kPa ; Time: 11:23:36.862 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7829000 kPa ; Time: 11:23:37.870 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7823000 kPa ; Time: 11:23:38.863 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7811000 kPa ; Time: 11:23:39.864 ; Date: 15.02.2021
Addr: 4 ; Command: 1 ; Pressure: -100,7800000 kPa ; Time: 11:23:40.866 ; Date: 15.02.2021
