Файл данных опроса от 11:20:21 15.02.2021
Прибор № 2 (адрес - 2)
Addr: 2 ; Command: 1 ; Pressure: 1,7274250 kPa ; Time: 11:22:56.296 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7286830 kPa ; Time: 11:22:57.296 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7262120 kPa ; Time: 11:22:58.297 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7279430 kPa ; Time: 11:22:59.314 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7267150 kPa ; Time: 11:23:00.336 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7267000 kPa ; Time: 11:23:01.337 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7278670 kPa ; Time: 11:23:02.341 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7297290 kPa ; Time: 11:23:03.330 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7285840 kPa ; Time: 11:23:04.336 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7291410 kPa ; Time: 11:23:05.331 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7285840 kPa ; Time: 11:23:06.336 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7278820 kPa ; Time: 11:23:07.346 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7285840 kPa ; Time: 11:23:08.343 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7261280 kPa ; Time: 11:23:09.361 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7260890 kPa ; Time: 11:23:10.376 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7260670 kPa ; Time: 11:23:11.380 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7255020 kPa ; Time: 11:23:12.395 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7243580 kPa ; Time: 11:23:13.410 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7266010 kPa ; Time: 11:23:14.412 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7260280 kPa ; Time: 11:23:15.427 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7284930 kPa ; Time: 11:23:16.428 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7313460 kPa ; Time: 11:23:17.430 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7301640 kPa ; Time: 11:23:18.436 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7296140 kPa ; Time: 11:23:19.437 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7319180 kPa ; Time: 11:23:20.441 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7307660 kPa ; Time: 11:23:21.454 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7318650 kPa ; Time: 11:23:22.471 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7295610 kPa ; Time: 11:23:23.493 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7248690 kPa ; Time: 11:23:24.509 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7242970 kPa ; Time: 11:23:25.514 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7242740 kPa ; Time: 11:23:26.529 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7236330 kPa ; Time: 11:23:27.544 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7223740 kPa ; Time: 11:23:28.574 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7212750 kPa ; Time: 11:23:29.543 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7236330 kPa ; Time: 11:23:30.544 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7265010 kPa ; Time: 11:23:31.531 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7289510 kPa ; Time: 11:23:32.538 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7294920 kPa ; Time: 11:23:33.541 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7306590 kPa ; Time: 11:23:34.542 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7306370 kPa ; Time: 11:23:35.562 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7300260 kPa ; Time: 11:23:36.547 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7264250 kPa ; Time: 11:23:37.555 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7264020 kPa ; Time: 11:23:38.548 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7235180 kPa ; Time: 11:23:39.551 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7246860 kPa ; Time: 11:23:40.553 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7228700 kPa ; Time: 11:23:41.558 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7228700 kPa ; Time: 11:23:42.576 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7228620 kPa ; Time: 11:23:43.550 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7234800 kPa ; Time: 11:23:44.566 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7246780 kPa ; Time: 11:23:45.565 ; Date: 15.02.2021
Addr: 2 ; Command: 1 ; Pressure: 1,7222370 kPa ; Time: 11:23:46.591 ; Date: 15.02.2021
